h,m,x,y
7,53,-47.054899445202615,-14.012148124477632
7,54,-46.06833979576035,-13.723057942772892
7,55,-45.12059014415151,-13.44560285824278
7,56,-44.20937065277609,-13.1790996142651
7,57,-43.3325765827291,-12.92291743555646
7,58,-42.48826179946658,-12.676473084431965
7,59,-41.67462410855514,-12.439226465584401
8,0,-40.88999218879868,-12.210676709635361
8,1,-40.13281392144821,-11.990358675143362
8,2,-39.4016459542847,-11.777839820661413
8,3,-38.69514433178895,-11.572717396432992
8,4,-38.01205608490818,-11.374615923630355
8,5,-37.351211658685685,-11.183184924738729
8,6,-36.71151808386058,-10.998096876925297
8,7,-36.091952808345006,-10.819045363189863
8,8,-35.49155811551736,-10.645743399397332
8,9,-34.90943606513937,-10.477921917953477
8,10,-34.344743900675645,-10.315328391272809
8,11,-33.796689873688706,-10.157725580252976
8,12,-33.26452944166005,-10.00489039467496
8,13,-32.747561800964725,-9.856612854055815
8,14,-32.24512672097997,-9.712695138758733
8,15,-31.756601649205027,-9.572950722331905
8,16,-31.281399060809722,-9.437203577107866
8,17,-30.818964028758703,-9.305287445915347
8,18,-30.368771993490324,-9.177045173601508
8,19,-29.93032671318077,-9.052328092680845
8,20,-29.503158377859574,-8.930995458093479
8,21,-29.08682187225518,-8.812913926541631
8,22,-28.680895173825313,-8.697957076344473
8,23,-28.28497787394326,-8.58600496420522
8,24,-27.89868981124405,-8.476943715595729
8,25,-27.521669807401764,-8.370665145841759
8,26,-27.15357449644061,-8.267066409242732
8,27,-26.794077239624045,-8.166049673841362
8,28,-26.44286711873715,-8.067521819689208
8,29,-26.09964800116565,-7.971394158632022
8,30,-25.764137670953886,-7.87758217386995
8,31,-25.43606702039405,-7.786005277660847
8,32,-25.115179297345374,-7.6965865857269815
8,33,-24.801229403808623,-7.6092527070242175
8,34,-24.493983241744868,-7.523933547671628
8,35,-24.193217102491563,-7.440562127947628
8,36,-23.89871709636255,-7.359074411331436
8,37,-23.610278619456075,-7.279409144695271
8,38,-23.327705854802712,-7.201507708790046
8,39,-23.05081130534314,-7.125313978270874
8,40,-22.779415356383566,-7.050774190557488
8,41,-22.51334586534616,-6.977836822876432
8,42,-22.252437776916086,-6.906452476914195
8,43,-21.996532761691157,-6.836573770515646
8,44,-21.74547887674136,-6.768155235948686
8,45,-21.49913024651247,-6.701153224266788
8,46,-21.257346762657644,-6.635525815344933
8,47,-21.019993801537048,-6.571232733210491
8,48,-20.786941958128008,-6.508235266293648
8,49,-20.558066795311873,-6.446496192285643
8,50,-20.333248607440446,-6.385979707277736
8,51,-20.11237219730017,-6.326651358915446
8,52,-19.895326665567218,-6.268477983296536
8,53,-19.68200521193964,-6.211427645369389
8,54,-19.472304947230267,-6.155469582615821
8,55,-19.266126715674122,-6.100574151796467
8,56,-19.063374926854305,-6.046712778578236
8,57,-18.863957396624475,-5.993857909858408
8,58,-18.667785196452982,-5.941982968613571
8,59,-18.474772510715166,-5.8910623111299065
9,0,-18.284836501404058,-5.84107118645782
9,1,-18.09789717985546,-5.791985697968093
9,2,-17.913877285022018,-5.743782766872052
9,3,-17.732702167950567,-5.696440097600002
9,4,-17.554299682079773,-5.649936144924561
9,5,-17.378600079001878,-5.6042500827221176
9,6,-17.205535909411108,-5.559361774288216
9,7,-17.03504192890213,-5.515251744107248
9,8,-16.867055008377736,-5.471901151002967
9,9,-16.701514048768733,-5.429291762582448
9,10,-16.53835989985899,-5.3874059309097175
9,11,-16.37753528297448,-5.346226569337554
9,12,-16.21898471730532,-5.305737130429012
9,13,-16.062654449700304,-5.265921584918701
9,14,-15.908492387706971,-5.226764401647749
9,15,-15.756448035713012,-5.1882505284276785
9,16,-15.60647243400203,-5.150365373778254
9,17,-15.458518100577097,-5.113094789494929
